headline,date,doc_type,material_type,section,abstract,first_paragraph,keywords,web_url
How Are Ties Broken in Tennis? That Depends,2019-01-12,article,News,,"There are four Grand Slam tournaments, and this year they each will have a different way to solve a tie.","Difficult as it might be to remember at this time-is-money stage in tennis, the sport once had no tiebreakers.","['Wimbledon Tennis Tournament', 'French Open (Tennis)', 'Australian Open (Tennis)', 'United States Open (Tennis)', 'Masters Golf Tournament']",https://www.nytimes.com/2019/01/12/sports/tennis/how-are-ties-broken-in-tennis-that-depends.html
The Masters on Halloween? Golf Weighs Tradition Against the Calendar,2020-04-01,article,News,,The five different governing bodies of golf’s most prestigious tournaments are considering unconventional concessions in order to salvage the season.,"If golf’s biggest events are to be salvaged this year, the game’s leaders must find an uncommon wellspring of creativity and flexibility. The first two men’s Grand Slam events of the year, the Masters and the P.G.A. Championship, have already been postponed indefinitely, and the schedules for the two others, the United States and British Opens, are teetering as the coronavirus increasingly alters lives around the globe.","['Golf', 'PGA Championship', 'United States Open (Golf)', 'Masters Golf Tournament', 'British Open (Golf)', 'Coronavirus (2019-nCoV)']",https://www.nytimes.com/2020/04/01/sports/golf/golf-majors-masters-coronavirus.html
Where the Major Sports Stand Amid the Coronavirus Pandemic,2020-04-09,article,News,,A snapshot look at how the global sports calendar has shifted because of the virus.,"Nearly every sporting event, major and minor, has been canceled, moved or postponed because of the coronavirus pandemic. The question now, to which no one really knows the answer, is when games will come back.","['UEFA Champions League (Soccer)', 'United States Open (Golf)', ""Giro d'Italia (Bicycle Race)"", 'PGA Championship', 'Triple Crown (Horse Racing)', 'British Open (Golf)', 'London Marathon', 'Masters Golf Tournament', 'Kentucky Derby', 'Preakness Stakes', 'French Open (Tennis)', 'Wimbledon Tennis Tournament', 'Coronavirus (2019-nCoV)', 'Indianapolis 500 (Auto Race)']",https://www.nytimes.com/article/coronavirus-sports-leagues-returning-canceled.html
What We Miss Without the Masters,2020-04-10,article,News,,The collective gathering to view the tournament’s poignant trademark finale is as much of an event as the golf itself.,"The day after his stirring, historic victory at last year’s Masters tournament, Tiger Woods grabbed his cellphone to check the feedback about his monumental achievement.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2020/04/10/sports/golf/masters-tiger-woods.html
"With Masters Postponed, Not Canceled, Golfers Hope for a Do-Over",2020-03-13,article,News,,Golf’s first major tournament of the season was postponed indefinitely on Friday because of the spread of coronavirus.,"The 2020 Masters Tournament, golf’s first major championship and a signature, springtime event in American sports, was postponed Friday morning by its host, the Augusta National Golf Club, because of the coronavirus pandemic that has led to sweeping changes across the world.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2020/03/13/sports/golf/masters-postponed.html
A Tolerable Redemption for Tiger Woods,2019-06-13,article,News,,"His journey back has been morally and medically arduous. But here he is, basking in adulation, smiling with President Trump, defying his sport’s and society’s expectations.","Last month, the president awarded Tiger Woods the Presidential Medal of Freedom. The ceremony took place in the White House Rose Garden, a couple of weeks after Woods’s desperately prayed-for win at the Masters golf tournament.","['Golf', 'United States Open (Golf)', 'Presidential Medal of Freedom', 'Masters Golf Tournament']",https://www.nytimes.com/2019/06/13/sports/golf/tiger-woods-wesley-morris.html
Bryson DeChambeau’s Golf Revolution Turns Toward the Masters,2020-11-09,article,News,,"DeChambeau aims to conquer genteel Augusta National with brute force. Given his play since bulking up over the past year, lots of golfers — and bettors — think he can.","Asked about his childhood as he stood on the practice range at a golf tournament in Connecticut this summer, Bryson DeChambeau said his overriding memory was a conviction that a nonconformist would eventually get more done.","['Golf', 'United States Open (Golf)', 'Masters Golf Tournament', 'Content Type: Personal Profile']",https://www.nytimes.com/2020/11/09/sports/golf/bryson-dechambeau-masters-augusta.html
Count Tiger Woods Out? Not at Augusta National,2020-11-10,article,News,,"Woods’s 2019 Masters win was one of the most dramatic revivals in sports. Despite his back pain and the tournament’s odd November start, most expect him to contend for a record-tying sixth victory.","The most mesmerizing moment of Tiger Woods’s seismic 2019 Masters victory featured the intimidating stillness of a silent stare. Standing defiantly on the 12th green with arms folded across his chest during the final round, Woods glared pitilessly at his closest rivals.","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2020/11/10/sports/golf/tiger-woods-masters-tournament-augusta.html
"At Augusta National, Not Talking About Race Is Tradition",2020-11-10,article,News,,"A plan to honor Lee Elder, the first Black golfer to compete in the Masters, highlights the glacial pace of change at the club that hosts golf’s marquee event.","The coronavirus pandemic has silenced the Masters Tournament’s resonant roars. It has erased the par-3 contest, drained the color from the wintering azaleas and brought brisk north winds into play for the first time. This week’s tournament, rescheduled from the first major of the year to the last and stripped down to better safeguard the participants from the virus, is happening in one kind of bubble.","['Golf', 'Masters Golf Tournament', 'Black People', 'Blacks', 'Race and Ethnicity', 'Discrimination']",https://www.nytimes.com/2020/11/10/sports/golf/lee-elder-masters-augusta-national.html
"Detonating the Masters, One Power Drive at a Time",2020-11-10,article,News,,"Bryson DeChambeau mapped out his Masters plan on Tuesday, which included bombing his tee shots over 100-foot tall pine trees and maybe breaking out the longest driver in golf.","AUGUSTA, Ga. — Bryson DeChambeau was specific on Tuesday about his long-driving plans to brazenly overrun the Augusta National Golf Club, home to the Masters tournament since 1934. For sports fans who do not follow golf, here are some points of reference:","['Golf', 'Masters Golf Tournament']",https://www.nytimes.com/2020/11/10/sports/golf/bryson-dechambeau-driver-masters-tournament.html
